year,month,PM2.5,PM10,SO2,NO2,O3,temp,pres,dewp,rain,wspd
2013,1.9561643835616438,8.083333333333334,9.333333333333334,3.0,13.0,62.47826086956522,0.5416666666666666,1029.6416666666667,-20.6375,0.0,3.1666666666666674
2013,1.989041095890411,32.625,38.130434782608695,20.208333333333332,47.583333333333336,40.416666666666664,0.08333333333333341,1029.4666666666667,-16.275000000000002,0.0,1.3458333333333334
2013,2.021917808219178,76.5,95.20833333333333,30.875,65.29166666666667,24.541666666666668,5.029166666666668,1017.0375,-11.779166666666669,0.0,1.625
2013,2.0547945205479454,19.833333333333332,33.04347826086956,13.083333333333334,43.291666666666664,55.125,8.9375,1020.1166666666668,-12.4375,0.0,2.091666666666667
2013,2.0876712328767124,114.95833333333333,145.83333333333334,58.82608695652174,87.8695652173913,74.54166666666667,6.45,1013.4874999999998,-7.220833333333331,0.0,1.1958333333333333
2013,2.1205479452054794,168.70833333333334,186.08333333333334,86.86626666666666,95.68660416666667,49.708333333333336,6.574999999999999,1009.9916666666668,-4.804166666666666,0.0,1.2
2013,2.1534246575342464,283.0,301.625,88.79166666666667,120.125,52.208333333333336,8.379166666666665,1004.8583333333335,-1.9166666666666667,0.0,1.1458333333333333
2013,2.186301369863014,226.0,246.375,69.43193333333333,90.27712083333334,95.66666666666667,8.983333333333333,1002.0500000000001,-1.7208333333333332,0.0,2.3166666666666673
2013,2.219178082191781,98.25,175.58333333333334,41.36363636363637,62.18181818181818,78.375,6.791666666666667,1006.7666666666668,-10.845833333333337,0.0,4.583333333333333
2013,2.252054794520548,52.8,71.4,27.857142857142858,54.07142857142857,49.083333333333336,5.054166666666666,1023.1125000000001,-13.233333333333333,0.0,2.1500000000000004
2013,2.2849315068493152,124.91666666666667,157.125,86.83333333333333,74.45833333333333,64.91666666666667,6.483333333333333,1016.3749999999999,-6.841666666666669,0.0,1.5999999999999999
2013,2.317808219178082,115.875,113.70833333333333,27.916666666666668,65.0,43.666666666666664,4.733333333333333,1011.4708333333334,0.75,0.11666666666666665,1.3208333333333335
2013,2.350684931506849,14.166666666666666,18.458333333333332,11.875,24.458333333333332,76.625,3.525,1025.4541666666667,-12.487500000000002,0.0,2.1958333333333333
