year,month,temp,pres,dewp,rain,wspd,wdir,alert
2013,1.95616438356164,0.541666666666667,1029.64166666667,-20.6375,0,3.16666666666667,NW,FALSE
2013,1.98904109589041,0.0833333333333334,1029.46666666667,-16.275,0,1.34583333333333,N,TRUE
2013,2.02191780821918,5.02916666666667,1017.0375,-11.7791666666667,0,1.625,N,TRUE
2013,2.05479452054795,8.9375,1020.11666666667,-12.4375,0,2.09166666666667,NW,FALSE
2013,2.08767123287671,6.45,1013.4875,-7.22083333333333,0,1.19583333333333,NNE,TRUE
2013,2.12054794520548,6.575,1009.99166666667,-4.80416666666667,0,1.2,N,TRUE
2013,2.15342465753425,8.37916666666666,1004.85833333333,-1.91666666666667,0,1.14583333333333,NNE,TRUE
2013,2.18630136986301,8.98333333333333,1002.05,-1.72083333333333,0,2.31666666666667,SE,TRUE
2013,2.21917808219178,6.79166666666667,1006.76666666667,-10.8458333333333,0,4.58333333333333,NNW,TRUE
2013,2.25205479452055,5.05416666666667,1023.1125,-13.2333333333333,0,2.15,SSW,TRUE
2013,2.28493150684932,6.48333333333333,1016.375,-6.84166666666667,0,1.6,SE,TRUE
2013,2.31780821917808,4.73333333333333,1011.47083333333,0.75,0.116666666666667,1.32083333333333,N,TRUE
2013,2.35068493150685,3.525,1025.45416666667,-12.4875,0,2.19583333333333,NE,FALSE
2013,2.38356164383562,3.50833333333333,1024.2625,-4.58333333333333,0,1.72916666666667,SE,TRUE
2013,2.41643835616438,5.67083333333333,1017.08333333333,-1.475,0,1.4625,NNE,TRUE
2013,2.44931506849315,8.97916666666666,1019.2875,-0.15,0,2.125,SSE,TRUE
2013,2.48219178082192,9.2,1004.525,1.975,0,1.25416666666667,NNE,TRUE
2013,2.51506849315069,7.65,1003.8875,-9.77083333333333,0,3.75833333333333,SSE,TRUE
2013,2.54794520547945,1.67916666666667,1011.6625,-1.05,0.283333333333333,2.1125,NE,FALSE
2013,2.58082191780822,1.25416666666667,1019.82083333333,-4.4625,0.229166666666667,2,WSW,FALSE
2013,2.61369863013699,3.92083333333333,1007.52083333333,-2.775,0,1.50416666666667,SSE,TRUE
2013,2.64657534246575,5.85416666666667,1014.34583333333,-6.54583333333333,0,2.49583333333333,SW,FALSE
2013,2.67945205479452,4.24166666666667,1011.3375,-7.075,0,3.09583333333333,NW,TRUE
2013,2.71232876712329,3.9125,1019,-13.1625,0,1.99583333333333,NNE,FALSE
2013,2.74520547945205,4.90833333333333,1018.02083333333,-6.80416666666667,0,1.65833333333333,SSW,TRUE
2013,2.77808219178082,7.52083333333333,1010.175,-1.79583333333333,0,1.84166666666667,SSW,TRUE
2013,2.81095890410959,10.7791666666667,1007.6625,-4.1625,0,2.9625,NNE,TRUE
2013,2.84383561643836,7.625,1017.8875,-12.7125,0,2.2125,WSW,FALSE
2013,2.87671232876712,5.55416666666667,1018.9375,-6.40416666666667,0,1.97083333333333,SSE,TRUE
2013,2.90958904109589,5.98333333333333,1019.3875,-4.25,0,2.31666666666667,SSE,TRUE
2013,2.94246575342466,5.19166666666667,1015.72916666667,1.94166666666667,0,1.7625,SSE,TRUE
2013,2.97534246575342,10.1458333333333,1014.04583333333,-3.22916666666667,0,2.85,NW,TRUE
2013,3.00821917808219,9.67083333333333,1013.86666666667,-3.80416666666667,0,1.77083333333333,SW,TRUE
2013,3.04109589041096,11.7291666666667,1009.16666666667,-1.54166666666667,0,2.475,SSE,TRUE
2013,3.07397260273973,7.93333333333333,1011.45833333333,-0.529166666666667,0.333333333333333,1.84166666666667,N,TRUE
2013,3.10684931506849,8.73333333333333,1015.27916666667,-1.65,0.0458333333333333,2.8,NW,FALSE
2013,3.13972602739726,7.94583333333333,1013.3125,-8.54583333333333,0,2.06666666666667,SSE,FALSE
2013,3.17260273972603,8.95833333333333,1004.925,-2.24583333333333,0.00416666666666667,2.61666666666667,ESE,TRUE
2013,3.20547945205479,8.85416666666667,1009.025,-11.1333333333333,0,5.54166666666667,WNW,FALSE
2013,3.23835616438356,8.1125,1016.55416666667,-10.5958333333333,0,3.9,NW,FALSE
2013,3.27123287671233,7.75833333333334,1016.125,-10.475,0,3.47916666666667,WNW,FALSE
2013,3.3041095890411,9.71666666666667,1014.9625,-10.5083333333333,0,2.7,NW,FALSE
2013,3.33698630136986,13.2291666666667,1009.175,-5.10416666666667,0,1.4625,ENE,FALSE
2013,3.36986301369863,16.35,1001.47083333333,-1.55833333333333,0,3.15833333333333,N,FALSE
2013,3.4027397260274,12.1541666666667,1006.96666666667,-8.475,0,2.32916666666667,SSW,FALSE
2013,3.43561643835616,12.4458333333333,1000.2125,-0.5375,0,2.47083333333333,SSE,TRUE
2013,3.46849315068493,13.8416666666667,1003.72916666667,-0.591666666666667,0,2.41666666666667,SSE,TRUE
2013,3.5013698630137,11.6458333333333,1008.575,-2.66666666666667,0,2.475,S,FALSE
2013,3.53424657534247,10.675,1019.66666666667,-13.5875,0,3.0125,ENE,FALSE
2013,3.56712328767123,6.9,1021.08333333333,-2.17916666666667,0,2.25,SE,FALSE
2013,3.6,9.37916666666667,1017.64583333333,-0.525,0,1.5375,WSW,FALSE
2013,3.63287671232877,12.1625,1014.88333333333,2.21666666666667,0,2.2125,SSW,TRUE
2013,3.66575342465753,12.4416666666667,1010.875,5.40416666666667,0,1.8625,S,TRUE
2013,3.6986301369863,12.05,1008.18333333333,7.5,0,1.65416666666667,SSE,TRUE
