timestamp,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,temp,pres,dewp,rain,wdir,wspd
1424732400,2015,2,24,0,154,223,32,36,1300,34,1,1012,-9.3,FALSE,5.89048622548086,1.5
1409670000,2014,9,2,17,NA,5,2,7,600,87,20.2,1007.5,17.4,TRUE,1.17809724509617,1.4
1410681600,2014,9,14,10,27,27,2,16,400,54,22.1,1015.2,3.7,FALSE,0.785398163397448,3.2
1451750400,2016,1,2,17,375,375,38,152,4300,7,2.5,1015.6,-4.5,FALSE,1.5707963267949,0.3
1425135600,2015,2,28,16,161,161,5,37,1500,15,1,1019.7,-2.1,FALSE,0.785398163397448,1.6
1365246000,2013,4,6,13,9,6,3,10,300,87,13.6,1011.6,-10.3,FALSE,1.96349540849362,1.5
1475823600,2016,10,7,9,57,57,3,39,1400,11,12.4,1017.1,11.5,TRUE,5.10508806208341,2.6
1478530800,2016,11,7,16,6,7,2,9,100,61,11.7,1026.9,-8.8,FALSE,1.96349540849362,4
1487066400,2017,2,14,11,208,225,51,93,3800,10,0.6,1032,-4.4,FALSE,5.49778714378214,1.5
1367593200,2013,5,3,17,60,62,14,22,900,169,21.5,1012,4.1,FALSE,5.10508806208341,3.6
1474772400,2016,9,25,5,194,194,2,18,1100,NA,20.025,1009,18.2,FALSE,2.35619449019234,1
1465448400,2016,6,9,7,166,166,2,2,100,NA,21.8,1004.6,17.4,FALSE,5.49778714378214,1.9
1378764000,2013,9,10,0,98,105,6,54,1100,15,19.9,1008,17.5,FALSE,0.392699081698724,1.2
1436706000,2015,7,12,15,93,93,5,20,800,293,37.9,992.3,16.8,FALSE,5.10508806208341,2
1470394800,2016,8,5,13,57,57,2,21,600,125,31.3,1006,22.6,FALSE,5.89048622548086,0.9
1474988400,2016,9,27,17,14,19,3,7,300,66,19.35,1019,1.7,FALSE,0.785398163397448,3.8
1381964400,2013,10,17,1,91,177,2,69,1100,1,6.9,1022.6,3.9,FALSE,0.392699081698724,1.1
1442084400,2015,9,12,21,19,61,2,82,600,2,19.6,1012,7.7,FALSE,3.53429173528852,1.3
1443880800,2015,10,3,16,24,55,4,26,600,92,24.4,1015.8,7.1,FALSE,4.71238898038469,3.3
1474473600,2016,9,21,18,58,64,5,36,800,NA,21.025,1014,14.4,FALSE,0.785398163397448,1.7
1464634800,2016,5,30,21,128,171,12,60,700,222,29,997.9,18.1,FALSE,5.89048622548086,1.6
1456462800,2016,2,26,6,19,19,19,73,900,2,-2.8,1026.2,-15.5,FALSE,1.17809724509617,1.6
1420009200,2014,12,31,8,4,23,2,14,300,46,-4.6,1029,-24.8,FALSE,1.96349540849362,3.8
1418626800,2014,12,15,8,61,113,31,76,1600,9,-0.2,1021,-16.1,FALSE,2.74889357189107,1.2
1469498400,2016,7,26,4,7,7,3,8,200,NA,24.1,1001,17.3,FALSE,1.17809724509617,2.5
1425852000,2015,3,8,23,21,155,2,12,200,73,3.8,1027.4,-25.1,FALSE,1.96349540849362,4.2
1392613200,2014,2,17,6,132,99,47,68,2200,4,-1.2,1031.9,-8,FALSE,1.5707963267949,0.1
1446253200,2015,10,31,2,27,31,2,44,500,2,2.4,1029.6,-2,FALSE,2.35619449019234,0.9
1397055600,2014,4,9,17,74,379,3,50,300,64,26.3,1007.4,-3.3,FALSE,0.392699081698724,3.1
1467378000,2016,7,1,15,NA,NA,2,14,1000,NA,31.4,999,10.1,FALSE,0,1.6
1476360000,2016,10,13,14,161,161,21,56,1200,125,20.8,1014.7,12.5,FALSE,4.71238898038469,1.9
1482692400,2016,12,25,20,145,145,41,95,2600,4,-0.3,1025.2,-6.3,FALSE,1.17809724509617,1
1416038400,2014,11,15,9,27,52,20,50,700,2,3.2,1017,-8.8,FALSE,0.392699081698724,0.7
1370473200,2013,6,6,1,124,126,3,26,1500,22,18.7,1008.1,17.2,FALSE,4.31968989868597,0.7
1418446800,2014,12,13,6,43,64,11,60,1900,3,-7.1,1011,-15.8,FALSE,0.785398163397448,1.6
1403406000,2014,6,22,5,30,30,2,26,500,32,18.5,1006.4,16.7,FALSE,2.74889357189107,1.1
